TITLE,PEGDA 1500 MgTFSI 30 03_05_18,
DATA TYPE,RAMAN SPECTRUM,
ORIGIN,JASCO,
OWNER,,
DATE,18/03/05,
TIME,9:27:25,
SPECTROMETER/DATA SYSTEM,,
LOCALE,1041,
RESOLUTION,,
DELTAX,1,
XUNITS,1/CM,
YUNITS,INTENSITY,
FIRSTX,212.4148,
LASTX,2060.4148,
NPOINTS,1849,
FIRSTY,45.04688,
MAXY,944.58575,
MINY,29.04553,
XYDATA,,
870.4148,46.2363,
871.4148,43.5323,
872.4148,51.041,
873.4148,63.7618,
874.4148,69.3035,
875.4148,57.4112,
876.4148,49.29,
877.4148,65.1201,
878.4148,77.7276,
879.4148,65.1243,
880.4148,53.0222,
881.4148,59.2263,
882.4148,68.4616,
883.4148,70.2861,
884.4148,67.5024,
885.4148,63.3664,
886.4148,60.4237,
887.4148,60.9323,
888.4148,66.0197,
889.4148,67.1202,
890.4148,53.9332,
891.4148,44.6565,
892.4148,60.0832,
893.4148,73.208,
894.4148,58.1684,
895.4148,43.5904,
896.4148,52.6603,
897.4148,66.8002,
898.4148,71.4922,
899.4148,70.2814,
900.4148,68.1191,
901.4148,69.0344,
902.4148,69.166,
903.4148,58.666,
904.4148,43.6568,
905.4148,39.1251,
906.4148,43.0416,
907.4148,47.4644,
908.4148,58.0414,
909.4148,79.1624,
910.4148,92.4787,
911.4148,86.6219,
912.4148,83.1352,
913.4148,92.3044,
914.4148,93.3936,
915.4148,79.8977,
916.4148,68.6501,
917.4148,65.5881,
918.4148,64.8662,
919.4148,66.5304,
920.4148,73.7626,
921.4148,78.4023,
922.4148,69.9398,
923.4148,56.8626,
924.4148,50.9746,
925.4148,51.178,
926.4148,56.1875,
927.4148,72.3041,
928.4148,92.4477,
929.4148,83.427,
930.4148,49.7064,
931.4148,46.2871,
932.4148,73.0292,
933.4148,78.7458,
934.4148,61.217,
935.4148,49.4492,
936.4148,49.8202,
937.4148,57.3403,
938.4148,64.7645,
939.4148,65.7675,
940.4148,59.7678,
941.4148,51.1937,
942.4148,53.2918,
943.4148,67.1427,
944.4148,71.9733,
945.4148,65.4396,
946.4148,67.8585,
947.4148,75.2259,
948.4148,65.2521,
949.4148,46.5659,
950.4148,42.3,
951.4148,49.9435,
952.4148,58.0093,
953.4148,61.3619,
954.4148,59.1338,
955.4148,57.814,
956.4148,60.7293,
957.4148,62.341,
958.4148,60.4693,
959.4148,59.1086,
960.4148,64.1985,
961.4148,81.191,
962.4148,91.6261,
963.4148,68.5938,
964.4148,44.609,
965.4148,63.0946,
966.4148,82.8206,
967.4148,61.5361,
968.4148,41.6534,
969.4148,53.8865,
970.4148,64.3273,
971.4148,58.0373,
972.4148,61.2578,
973.4148,77.4287,
974.4148,83.5311,
975.4148,73.2108,
976.4148,54.2675,
977.4148,43.3744,
978.4148,55.492,
979.4148,73.3658,
980.4148,75.0637,
981.4148,60.1288,
982.4148,40.2179,
983.4148,43.7228,
984.4148,72.6113,
985.4148,84.8496,
986.4148,69.0527,
987.4148,50.2887,
988.4148,43.9565,
989.4148,54.713,
990.4148,68.1979,
991.4148,65.6164,
992.4148,54.8098,
993.4148,50.0805,
994.4148,57.3731,
995.4148,72.5086,
996.4148,72.8341,
997.4148,53.6535,
998.4148,40.6155,
999.4148,41.9244,
1000.4148,45.8983,
1001.4148,50.2794,
1002.4148,58.5654,
1003.4148,62.5243,
1004.4148,53.103,
1005.4148,44.6466,
1006.4148,50.598,
1007.4148,58.9225,
1008.4148,59.5471,
1009.4148,56.6813,
1010.4148,52.9057,
1011.4148,46.4872,
1012.4148,42.4716,
1013.4148,50.9606,
1014.4148,65.1917,
1015.4148,70.5554,
1016.4148,71.1503,
1017.4148,74.9558,
1018.4148,73.6724,
1019.4148,63.3588,
1020.4148,63.0908,
1021.4148,75.7924,
1022.4148,70.3694,
1023.4148,45.5402,
1024.4148,36.7307,
1025.4148,47.2116,
1026.4148,55.5051,
1027.4148,57.7654,
1028.4148,59.7278,
1029.4148,67.7272,
1030.4148,82.7205,
1031.4148,87.0856,
1032.4148,72.1961,
1033.4148,56.9049,
1034.4148,53.9397,
1035.4148,62.1866,
1036.4148,75.3471,
1037.4148,84.0648,
1038.4148,87.7991,
1039.4148,90.1325,
1040.4148,85.6891,
1041.4148,69.2888,
1042.4148,50.9196,
1043.4148,42.3724,
1044.4148,50.2532,
1045.4148,67.8502,
1046.4148,69.2318,
1047.4148,53.7146,
1048.4148,47.3532,
1049.4148,51.7154,
1050.4148,52.4858,
1051.4148,50.9865,
1052.4148,53.3562,
1053.4148,54.9654,
1054.4148,54.148,
1055.4148,65.8231,
1056.4148,87.1975,
1057.4148,80.4212,
1058.4148,50.435,
1059.4148,51.4061,
1060.4148,76.8843,
1061.4148,79.6591,
1062.4148,68.3812,
1063.4148,71.5797,
1064.4148,80.6047,
1065.4148,80.7718,
1066.4148,72.993,
1067.4148,65.7712,
1068.4148,75.6114,
1069.4148,94.8779,
1070.4148,88.993,
1071.4148,67.4703,
1072.4148,68.8872,
1073.4148,79.5209,
1074.4148,68.6344,
1075.4148,51.0669,
1076.4148,46.6592,
1077.4148,48.3954,
1078.4148,48.0179,
1079.4148,44.3335,
1080.4148,41.027,
1081.4148,45.8835,
1082.4148,55.5294,
1083.4148,59.8133,
1084.4148,63.7629,
1085.4148,77.1751,
1086.4148,97.4056,
1087.4148,114.997,
1088.4148,111.88,
1089.4148,93.2967,
1090.4148,106.371,
1091.4148,147.795,
1092.4148,158.026,
1093.4148,142.499,
1094.4148,146.386,
1095.4148,150.851,
1096.4148,124.281,
1097.4148,104.83,
1098.4148,119.826,
1099.4148,120.581,
1100.4148,90.2443,
1101.4148,79.9346,
1102.4148,91.8929,
1103.4148,77.9757,
1104.4148,47.6992,
1105.4148,41.0264,
1106.4148,48.7851,
1107.4148,48.602,
1108.4148,41.6212,
1109.4148,37.7096,
1110.4148,53.4618,
1111.4148,84.4684,
1112.4148,97.8495,
1113.4148,93.2935,
1114.4148,97.8577,
1115.4148,112.99,
1116.4148,127.055,
1117.4148,135.246,
1118.4148,138.891,
1119.4148,151.046,
1120.4148,176.332,
1121.4148,199.935,
1122.4148,215.13,
1123.4148,226.913,
1124.4148,240.989,
1125.4148,262.718,
1126.4148,294.67,
1127.4148,334.65,
1128.4148,365.896,
1129.4148,381.604,
1130.4148,407.533,
1131.4148,446.497,
1132.4148,462.791,
1133.4148,461.748,
1134.4148,483.125,
1135.4148,512.758,
1136.4148,515.996,
1137.4148,513.539,
1138.4148,529.442,
1139.4148,541.379,
1140.4148,538.124,
1141.4148,544.026,
1142.4148,560.992,
1143.4148,564.188,
1144.4148,560.292,
1145.4148,573.895,
1146.4148,598.176,
1147.4148,619.708,
1148.4148,649.739,
1149.4148,694.311,
1150.4148,735.341,
1151.4148,766.634,
1152.4148,800.978,
1153.4148,833.778,
1154.4148,847.635,
1155.4148,844.774,
1156.4148,834.852,
1157.4148,816.724,
1158.4148,789.746,
1159.4148,762.379,
1160.4148,731.661,
1161.4148,675.992,
1162.4148,596.285,
1163.4148,515.011,
1164.4148,446.006,
